raceId,year,round,circuitId,name,date,time,url,Circuit Location,Circuit Country,PRCP,TAVG,TMAX,TMIN
53,2006,1,3,Bahrain Grand Prix,3/12/2006,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,Sakhir,Bahrain,0,66,73,59
73,2005,3,3,Bahrain Grand Prix,4/3/2005,14:30:00,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,Sakhir,Bahrain,0,84,102,76
92,2004,3,3,Bahrain Grand Prix,4/4/2004,,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,Sakhir,Bahrain,0,78,90,72
337,2010,1,3,Bahrain Grand Prix,3/14/2010,12:00:00,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix,Sakhir,Bahrain,0,80,96,68
863,2012,4,3,Bahrain Grand Prix,4/22/2012,12:00:00,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix,Sakhir,Bahrain,0,78,86,73
883,2013,4,3,Bahrain Grand Prix,4/21/2013,12:00:00,http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix,Sakhir,Bahrain,0,81,90,73
902,2014,3,3,Bahrain Grand Prix,4/6/2014,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,Sakhir,Bahrain,0,74,79,67
929,2015,4,3,Bahrain Grand Prix,4/19/2015,15:00:00,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix,Sakhir,Bahrain,0,78,83,70
949,2016,2,3,Bahrain Grand Prix,4/3/2016,15:00:00,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix,Sakhir,Bahrain,0,71,79,64
971,2017,3,3,Bahrain Grand Prix,4/16/2017,15:00:00,https://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix,Sakhir,Bahrain,0,80,88,72
990,2018,2,3,Bahrain Grand Prix,4/8/2018,15:00:00,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Sakhir,Bahrain,0,79,87,71
594,1974,5,50,Belgian Grand Prix,5/12/1974,,http://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix,Brussels,Belgium,0,59,68,44
624,1972,5,50,Belgian Grand Prix,6/4/1972,,http://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix,Brussels,Belgium,0.09,63,71,54
438,1984,3,40,Belgian Grand Prix,4/29/1984,,http://en.wikipedia.org/wiki/1984_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,48,57,37
471,1982,5,40,Belgian Grand Prix,5/9/1982,,http://en.wikipedia.org/wiki/1982_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,50,58,43
487,1981,5,40,Belgian Grand Prix,5/17/1981,,http://en.wikipedia.org/wiki/1981_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0.13,52,59,46
502,1980,5,40,Belgian Grand Prix,5/4/1980,,http://en.wikipedia.org/wiki/1980_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,49,56,40
517,1979,6,40,Belgian Grand Prix,5/13/1979,,http://en.wikipedia.org/wiki/1979_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,60,70,49
532,1978,6,40,Belgian Grand Prix,5/21/1978,,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,51,54,47
549,1977,7,40,Belgian Grand Prix,6/5/1977,,http://en.wikipedia.org/wiki/1977_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0.3,54,60,49
564,1976,5,40,Belgian Grand Prix,5/16/1976,,http://en.wikipedia.org/wiki/1976_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,57,65,50
581,1975,6,40,Belgian Grand Prix,5/25/1975,,http://en.wikipedia.org/wiki/1975_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0,54,63,43
609,1973,5,40,Belgian Grand Prix,5/20/1973,,http://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix,Heusden-Zolder,Belgium,0.02,62,70,53
12,2009,12,13,Belgian Grand Prix,8/30/2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix,Spa,Belgium,0,60,70,51
30,2008,13,13,Belgian Grand Prix,9/7/2008,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,Spa,Belgium,0.18,59,62,56
49,2007,14,13,Belgian Grand Prix,9/16/2007,12:00:00,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,Spa,Belgium,0,62,71,51
