STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-15,0.01,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-16,0.01,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-17,0,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-18,0.01,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-19,0.01,51
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-20,0.01,44
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-21,0.01,54
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-22,0.01,44
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-23,0.01,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-24,0.01,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-25,0,51
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-26,0.01,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-27,0.17,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-28,0.05,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-29,0.05,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-30,0,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-01,0,54
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-02,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-03,0.28,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-04,0.01,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-05,0,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-06,0,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-07,0.09,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-08,0.01,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-09,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-10,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-11,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-12,0.08,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-13,0.05,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-14,0,47
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-15,0,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-16,0.01,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-17,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-18,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-19,0.06,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-20,0.11,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-21,0.04,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-22,0.13,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-23,0.07,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-24,0.01,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-25,0.02,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-26,0,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-27,0,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-28,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-29,0,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-30,0,62
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-07-31,0,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-01,0.02,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-02,0.05,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-03,0.02,54
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-04,0.23,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-08-05,0,51
