raceId,driverId,CompletionStatus,alt,grid,trackType,average_lap_time,minimum_lap_time,year,PRCP,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
978,830,1,153,4,0,96854.01960784312,90678,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9792522855363557,-0.010249412883135406
978,836,1,153,17,0,98982.12,93342,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0080214256659223,0.01148492245116192
978,838,1,153,8,0,97933.18,93464,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0093389313325167,0.0008311040679119602
978,839,1,153,7,0,97798.4,93521,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0099544872587123,-0.000546088322837058
978,840,1,153,15,0,98947.52,93400,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0086477808188934,0.011135303259691446
979,1,1,264,4,0,85708.54285714286,80818,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9872525426442214,-0.01989472923189165
979,4,1,264,7,0,86541.94285714286,80182,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9794833251787839,-0.010218048208859432
979,8,1,264,2,0,85537.44285714286,80461,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9828915196329616,-0.021893024914239962
979,20,1,264,1,0,85524.47142857143,80807,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9871181693861713,-0.022044682618416356
979,154,0,264,14,0,95917.95,84702,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9956268236908814,0.09264590536610312
979,807,0,264,12,0,87563.98507462686,81611,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9969396329745545,0.0015225509723240868
979,814,0,264,19,0,88969.98333333334,83242,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0168635224181528,0.017451813779471696
979,815,1,264,13,0,86919.0579710145,82105,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0029742138360735,-0.005869915703870948
979,822,1,264,3,0,85702.5,81214,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.992089979934022,-0.01996523644128302
979,825,1,264,15,0,87147.7536231884,82100,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0029131350824145,-0.0032422374960748078
979,826,1,264,16,0,87165.88405797101,81631,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9971839479891909,-0.0030342166539976197
979,828,1,264,20,0,88666.80882352941,81752,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9986620538277411,0.01403839023706773
979,830,1,264,5,0,85714.12857142858,80490,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9832457764041844,-0.01982956032230522
979,832,1,264,9,0,86904.04347826086,81871,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0001157281648276,-0.006042671714617406
979,835,1,264,10,0,87172.82608695653,81589,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,0.9966708864584545,-0.0029545782422711847
979,836,1,264,18,0,88409.92647058824,83573,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.020906935910385,0.01113702058264882
979,838,1,264,8,0,87054.20289855072,81960,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0012029299799596,-0.004316286668641993
979,839,1,264,11,0,87045.57971014493,82431,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0069565485746468,-0.004415346969391782
979,840,1,264,17,0,87517.52173913043,82830,2017,0.0,78.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.011830633116643,0.000991788615605166
980,1,1,401,1,0,115518.63636363635,106603,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.967770341669602,-0.0112677210197961
980,4,0,401,10,0,114829.76,111720,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,1.0142238264526133,-0.017248908023479205
980,8,1,401,4,0,115847.52272727274,107730,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9780015469364486,-0.008424724563868191
980,13,1,401,16,0,116351.56818181818,109637,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9953137993267559,-0.004083223963796671
980,20,1,401,2,0,115572.22727272726,106577,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9675343067654867,-0.010803912895075646
980,154,1,401,11,0,116235.75,109087,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9903207532781617,-0.005079135454554646
980,807,1,401,7,0,116156.97727272726,108922,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9888228394635835,-0.0057570631265097
980,815,0,401,8,0,117542.95238095238,108300,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9831761582959007,0.006104227201374682
980,817,1,401,6,0,115763.88636363635,107549,2017,0.0,69.0,1,0,1,0,0,0,0,6.013715156042802,0.0,0.9763583808731839,-0.009146937408218083
