raceId,driverId,constructorId,grid,position,positionText,positionOrder,laps,fastestLap,rank,fastestLapSpeed,familyStatus,Completion Status,year,circuitId,country,alt,isHistoric,trackType,nationality,total_lap_time,average_lap_time,minimum_lap_time
11,5,1,2,4,4,4,57,56,7,196.378,4,1,2009,12,Spain,4,0,2,Finnish,5771321,101251.2456,99341
11,6,3,17,18,18,18,54,53,14,195.578,4,1,2009,12,Spain,4,0,2,Japanese,5635440,104360,99747
11,8,6,6,3,3,3,57,39,5,196.643,4,1,2009,12,Spain,4,0,2,Finnish,5767283,101180.4035,99207
11,9,2,10,8,8,8,57,55,8,196.312,4,1,2009,12,Spain,4,0,2,Polish,5787956,101543.0877,99374
11,10,7,13,14,14,14,57,55,1,197.687,4,1,2009,12,Spain,4,0,2,German,5837808,102417.6842,98683
11,15,7,18,13,13,13,57,52,15,195.199,4,1,2009,12,Spain,4,0,2,Italian,5815816,102031.8596,99941
11,16,10,12,10,10,10,57,36,12,195.824,4,1,2009,12,Spain,4,0,2,German,5799224,101740.7719,99622
11,17,9,9,9,9,9,57,50,11,196.009,4,1,2009,12,Spain,4,0,2,Australian,5796199,101687.7018,99528
11,18,23,5,7,7,7,57,46,2,197.305,4,1,2009,12,Spain,4,0,2,British,5786202,101512.3158,98874
11,20,9,4,,R,20,23,13,16,195.099,6,0,2009,12,Spain,4,0,2,German,2377282,103360.087,99992
11,21,10,16,12,12,12,57,53,17,194.867,4,1,2009,12,Spain,4,0,2,Italian,5814903,102015.8421,100111
11,22,23,3,1,1,1,57,39,3,197.074,4,1,2009,12,Spain,4,0,2,Brazilian,5751289,100899.807,98990
11,67,5,15,,R,19,41,37,20,193.072,6,0,2009,12,Spain,4,0,2,Swiss,4314231,105225.1463,101042
11,69,6,20,17,17,17,56,52,18,193.939,4,1,2009,12,Spain,4,0,2,Italian,5833273,104165.5893,100590
11,153,5,19,16,16,16,56,29,19,193.276,4,1,2009,12,Spain,4,0,2,Spanish,5798330,103541.6071,100935
11,154,4,14,15,15,15,57,41,9,196.206,4,1,2009,12,Spain,4,0,2,French,5843063,102509.8772,99428
12,2,2,3,5,5,5,44,35,2,234.834,4,1,2009,13,Belgium,401,1,0,German,5042271,114597.0682,107371
12,3,3,10,8,8,8,44,41,8,233.973,4,1,2009,13,Belgium,401,1,0,German,5067203,115163.7045,107766
12,4,4,13,,R,15,26,23,14,232.104,3,0,2009,13,Belgium,401,1,0,Spanish,3135759,120606.1154,108634
12,5,1,15,6,6,6,44,24,13,232.716,4,1,2009,13,Belgium,401,1,0,Finnish,5063758,115085.4091,108348
12,6,3,18,13,13,13,44,42,11,233.024,4,1,2009,13,Belgium,401,1,0,Japanese,5085236,115573.5455,108205
12,8,6,6,1,1,1,44,42,4,234.173,4,1,2009,13,Belgium,401,1,0,Finnish,5030995,114340.7955,107674
12,9,2,5,4,4,4,44,41,3,234.195,4,1,2009,13,Belgium,401,1,0,Polish,5040961,114567.2955,107664
12,10,7,7,10,10,10,44,40,5,234.038,4,1,2009,13,Belgium,401,1,0,German,5072485,115283.75,107736
12,15,7,2,,R,16,21,16,16,229.161,6,0,2009,13,Belgium,401,1,0,Italian,2587606,123219.3333,110029
12,16,10,11,11,11,11,44,42,10,233.771,4,1,2009,13,Belgium,401,1,0,German,5073631,115309.7955,107859
