Track,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-16,0,",,E",,,52,"H,,S",62,",,E",43,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-17,0.54,",,E",,,54,"H,,S",61,",,E",49,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-18,0.2,",,E",,,55,"H,,S",61,",,E",48,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-19,0,",,E",,,57,"H,,S",67,",,E",45,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-20,0.72,",,E",,,59,"H,,S",67,",,E",56,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-21,0,",,E",,,57,"H,,S",65,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-22,0,",,E",,,59,"H,,S",67,",,E",53,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-23,0,",,E",,,63,"H,,S",72,",,E",53,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-24,0,",,E",,,65,"H,,S",74,",,E",55,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-25,0,",,E",,,65,"H,,S",72,",,E",56,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-26,0,",,E",,,63,"H,,S",74,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-27,0,",,E",,,61,"H,,S",72,",,E",50,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-28,0.42,",,E",,,59,"H,,S",64,",,E",53,",,E"
Circuit de Monaco,FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2008-04-29,0,",,E",,,57,"H,,S",66,",,E",46,",,E"
